"","X","Rxn_1","Rxn_2","Rxn_1_Min","Rxn_1_Max","Rxn_2_Min","Rxn_2_Max","v1","v2","Rxn1_Prod","Rxn2_Prod","g_min_Fluxes","g_max_Fluxes","l_min_Fluxes","l_max_Fluxes","Rxn_1_Class","Rxn_2_Class","class","size","flux","short","long","common","syna","Rxn1_submodule","Rxn2_submodule","species"
"319",177,"HACD2","3OAS60",-9.78604669763422,7.18802865083069,0,9.80165198225424,0,0,-1,0,0,-1.25696814068377e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",28,10.0810138632273,13,14,1,0.964285714285714,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"320",178,"HACD2","3OAS80",-9.78604669763422,7.18802865083069,0,9.80165198225258,0,0,-1,0,0,-4.06129296859348e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",28,10.0810138632273,13,14,1,0.964285714285714,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"321",179,"HACD3","3HAD100",-9.78604669763388,2.28690654547654,0,17.5653367206703,0,0,-1,0,0,-9.06306973913473e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",36,13.3425183483851,17,18,1,0.972222222222222,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"322",180,"HACD3","3HAD40",-9.78604669763388,2.28690654547654,0,9.80165198225041,0,0,-1,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",28,10.0810138632258,13,15,0,1,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"323",181,"HACD3","3HAD60",-9.78604669763388,2.28690654547654,0,9.80165198225424,0,0.000195570378817213,-1,0,0,-2.12072165384214e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",28,10.0810138632258,13,15,0,1,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"324",182,"HACD3","3HAD80",-9.78604669763388,2.28690654547654,0,9.80165198225258,0,0,-1,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",28,10.0810138632258,13,15,0,1,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"325",183,"HACD3","3OAR100",-9.78604669763388,2.28690654547654,0,17.5653367206703,0,5.9369994546805,-1,0,0,-9.09494701772928e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",36,13.3425183483851,17,18,1,0.972222222222222,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"326",184,"HACD3","3OAR40",-9.78604669763388,2.28690654547654,0,9.80165198225041,0,0.000195570378817213,-1,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",28,10.0810138632258,13,15,0,1,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"327",185,"HACD3","3OAR60",-9.78604669763388,2.28690654547654,0,9.80165198225427,0,0,-1,0,0,-2.12594386539422e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",28,10.0810138632258,13,15,0,1,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"328",186,"HACD3","3OAR80",-9.78604669763388,2.28690654547654,0,9.80165198225257,0,0,-1,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",28,10.0810138632258,13,15,0,1,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"329",187,"HACD3","3OAS100",-9.78604669763388,2.28690654547654,0,17.5653367206703,0,0,-1,0,0,-9.06306973913473e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",36,13.3425183483851,17,18,1,0.972222222222222,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"330",188,"HACD3","3OAS60",-9.78604669763388,2.28690654547654,0,9.80165198225424,0,0,-1,0,0,-2.12072165384214e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",28,10.0810138632258,13,15,0,1,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"331",189,"HACD3","3OAS80",-9.78604669763388,2.28690654547654,0,9.80165198225258,0,0,-1,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",28,10.0810138632258,13,15,0,1,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"332",190,"HACD4","3HAD100",-17.5497314360529,2.28690654547643,0,17.5653367206703,0,0,-1,0,0,-9.52171674839519e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",15,4.44750611612929,6,7,2,0.866666666666667,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"333",191,"HACD4","3OAR100",-17.5497314360529,2.28690654547643,0,17.5653367206703,0,5.9369994546805,-1,0,0,-9.54969436861575e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",15,4.44750611612929,6,7,2,0.866666666666667,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"334",192,"HACD4","3OAS100",-17.5497314360529,2.28690654547643,0,17.5653367206703,0,0,-1,0,0,-9.52171674839519e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",15,4.44750611612929,6,7,2,0.866666666666667,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis","iML1515"
"335",193,"I2FE2SR","S2FE2SR",0,1.46190899268099e-06,0,0,0,0,0,0,0,1.75399442885393e-06,NA,NA,"Essential_Rxns","Blocked_Rxns","PSL",3,4.582309325e-06,1,2,0,1,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"336",194,"I2FE2SR","SCYSDS",0,1.46190899268099e-06,0,0.000959432974809302,0,0,0,0,0,-1.2244072422618e-10,0,NA,"Essential_Rxns","MLE_Rxns","PSL",5,8.3314715e-06,1,3,1,0.8,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"337",195,"I2FE2SS","S2FE2SS",0,0.000250821203326108,0,0.000250820690058716,0,0,0,0,0,-7.22337745173718e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",73,0.00370778605915182,28,32,13,0.821917808219178,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"338",196,"I2FE2SS","S2FE2SS2",0,0.000250821203326108,0,0.000227995465699384,0,0,0,0,0,-8.01492205937393e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",66,0.00353609734689432,28,32,6,0.909090909090909,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"339",197,"I2FE2SS","S2FE2ST",0,0.000250821203326108,0,2.40143336398706e-05,0,0,0,0,0,2.4417870431682e-05,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",5,0.000129970930940868,1,1,3,0.4,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"340",198,"I2FE2SS","S4FE4SR",0,0.000250821203326108,0,0.000227995465699384,0,0,0,0,0,-8.01492205937393e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",61,0.00352632689809928,22,31,8,0.868852459016393,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"341",199,"I2FE2SS","S4FE4ST",0,0.000250821203326108,0,0.000227995465699384,0,0,0,0,0,-8.01492205937393e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",66,0.00353609734689432,28,32,6,0.909090909090909,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"342",200,"I2FE2SS","SCYSDS",0,0.000250821203326108,0,0.000959432974809302,0,0,0,0,0,-1.01920250017429e-10,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",58,0.00371288687565607,24,30,4,0.931034482758621,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"343",201,"I2FE2SS2","S2FE2SS",0,0.000228012924509633,0,0.000250820690058716,0,0,0,0,0,-4.01882971345913e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",79,0.0035588499283605,31,40,8,0.89873417721519,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"344",202,"I2FE2SS2","S2FE2SS2",0,0.000228012924509633,0,0.000227995465699384,0,0,0,0,0,-8.01492205937393e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",69,0.00346046602047451,31,34,4,0.942028985507246,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"345",203,"I2FE2SS2","S4FE4SR",0,0.000228012924509633,0,0.000227995465699384,0,0,0,0,0,-8.01492205937393e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",69,0.00346046602047451,31,34,4,0.942028985507246,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"346",204,"I2FE2SS2","S4FE4ST",0,0.000228012924509633,0,0.000227995465699384,0,0,0,0,0,-8.01492205937393e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",69,0.00346046602047451,31,34,4,0.942028985507246,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"347",205,"I2FE2SS2","SCYSDS",0,0.000228012924509633,0,0.000959432974809302,0,0,0,0,0,-1.2244072422618e-10,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",58,0.00354833215460017,24,28,6,0.896551724137931,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"348",206,"I2FE2ST","S2FE2SS",0,2.40143363940053e-05,0,0.000250820690058716,0,0,0,0,0,-7.22337745173718e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",5,0.000129970999647295,1,1,3,0.4,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"349",207,"I2FE2ST","S2FE2ST",0,2.40143363940053e-05,0,2.40143336398706e-05,0,0,0,0,0,2.4417870431682e-05,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",11,0.000127888087525,2,5,4,0.636363636363636,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"350",208,"I2FE2ST","SCYSDS",0,2.40143363940053e-05,0,0.000959432974809302,0,0,0,0,0,-1.2244072422618e-10,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",7,0.000138302474606584,2,4,1,0.857142857142857,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"351",209,"I4FE4SR","S2FE2SS",0,0.000228012924509633,0,0.000250820690058716,0,0,0,0,0,-7.22337745173718e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",77,0.00354961555456483,33,35,9,0.883116883116883,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"352",210,"I4FE4SR","S2FE2SS2",0,0.000228012924509633,0,0.000227995465699384,0,0,0,0,0,-8.01492205937393e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",69,0.00346046602047451,31,34,4,0.942028985507246,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"353",211,"I4FE4SR","S4FE4SR",0,0.000228012924509633,0,0.000227995465699384,0,0,0,0,0,-8.01492205937393e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",69,0.00346046602047451,31,34,4,0.942028985507246,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"354",212,"I4FE4SR","S4FE4ST",0,0.000228012924509633,0,0.000227995465699384,0,0,0,0,0,-8.01492205937393e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",69,0.00346046602047451,31,34,4,0.942028985507246,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"355",213,"I4FE4SR","SCYSDS",0,0.000228012924509633,0,0.000959432974809302,0,0,0,0,0,-1.2244072422618e-10,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",58,0.00354833215460017,24,28,6,0.896551724137931,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"356",214,"I4FE4ST","S2FE2SS",0,0.000228012924509633,0,0.000250820690058716,0,0,0,0,0,-7.22337745173718e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",77,0.00354961555456483,33,35,9,0.883116883116883,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"357",215,"I4FE4ST","S2FE2SS2",0,0.000228012924509633,0,0.000227995465699384,0,0,0,0,0,-8.01492205937393e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",69,0.00346046602047451,31,34,4,0.942028985507246,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"358",216,"I4FE4ST","S4FE4SR",0,0.000228012924509633,0,0.000227995465699384,0,0,0,0,0,-8.01492205937393e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",69,0.00346046602047451,31,34,4,0.942028985507246,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"359",217,"I4FE4ST","S4FE4ST",0,0.000228012924509633,0,0.000227995465699384,0,0,0,0,0,-8.01492205937393e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",66,0.00346907625586995,29,31,6,0.909090909090909,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"360",218,"I4FE4ST","SCYSDS",0,0.000228012924509633,0,0.000959432974809302,0,0,0,0,0,-1.2244072422618e-10,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",58,0.00354833215460017,24,28,6,0.896551724137931,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"361",219,"IMPD","HXAND",0,95.4342810377088,0,52.1192941766164,0,0,0,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",4,0.81057886000103,2,2,0,1,"Purine and Pyrimidine Biosynthesis","Nucleotide Salvage Pathway","iML1515"
"362",220,"IMPD","XPPT",0,95.4342810377088,0,108.391036453307,0,0,0,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",4,0.810578860000392,2,2,0,1,"Purine and Pyrimidine Biosynthesis","Nucleotide Salvage Pathway","iML1515"
"363",221,"IPDPS","DMPPS",0,0.00209514634526603,0,0.00209514634526603,0,0,0,0,0,0.00209514634526603,0.00209514634526603,0.00209514634526603,"pFBAOpt_Rxns","pFBAOpt_Rxns","PSL",3,0.00597116562404406,1,1,1,0.666666666666667,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"364",222,"IPDPS","IPDDI",0,0.00209514634526603,-0.00185134111961816,0.000243805225636606,0,0,0,-1,-0.00185134111961816,0.000243805225522919,-0.00185134111961816,-0.00185134111961816,"pFBAOpt_Rxns","ELE_Rxns","PSL",3,0.00527632090099636,1,1,1,0.666666666666667,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"365",223,"Kt2pp","Kabcpp",0,433.572704997066,0,173.429081998814,0.00156456303053771,0,0,0,0,-4.78053152619395e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",196,0.36907870621134,70,91,35,0.821428571428571,"Inorganic Ion Transport and Metabolism","Inorganic Ion Transport and Metabolism","iML1515"
"366",224,"MN2tpp","MNt2pp",0,1000,0,867.128291626452,0,0.000299056050153013,0,0,0,-3.71440656010691e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",14,0.00116740237095139,3,11,0,1,"Inorganic Ion Transport and Metabolism","Transport, Inner Membrane","iML1515"
"367",225,"NDPK4","PYK6",-234.064372007602,108.392183828481,0,234.065519382753,0.00209514634526602,0,-1,0,0,0.0229475090817467,0.022947509112696,2.27581389018491,"pFBAOpt_Rxns","pFBAOpt_Rxns","PSL",3,0.0654003849877132,1,2,0,1,"Nucleotide Salvage Pathway","Nucleotide Salvage Pathway","iML1515"
"368",226,"NI2tpp","NI2uabcpp",0,867.128305789954,0,173.425661157957,0,0,0,0,0,-5.3674398259318e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",145,0.000986289624830777,51,72,22,0.848275862068966,"Inorganic Ion Transport and Metabolism","Inorganic Ion Transport and Metabolism","iML1515"
"369",227,"O2tex","CPPPGO2",0,308.106412556781,0,0.98780110987909,0,0,0,0,0,-1.4530598946294e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",432,711.923956713529,13,21,398,0.0787037037037037,"Transport, Outer Membrane Porin","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"370",228,"O2tex","ENO",0,308.106412556781,-92.4452003980878,63.6048332675018,0,0,0,-1,15.5988975323913,15.5988975322224,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",444,948.319172313616,25,30,389,0.123873873873874,"Transport, Outer Membrane Porin","Glycolysis/Gluconeogenesis","iML1515"
"371",229,"O2tex","GAPD",0,308.106412556781,-61.4479479385726,19.8945278096292,0,0.193864619235153,0,-1,17.1054336036751,17.1054336035002,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",448,1010.81636247727,25,38,385,0.140625,"Transport, Outer Membrane Porin","Glycolysis/Gluconeogenesis","iML1515"
"372",230,"O2tex","PGK",0,308.106412556781,-19.8945278096292,61.4479479385725,0,0,0,-1,-17.1054336035002,-17.1054336036751,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",448,1010.81636247727,25,38,385,0.140625,"Transport, Outer Membrane Porin","Glycolysis/Gluconeogenesis","iML1515"
"373",231,"O2tex","SUCCtex",0,308.106412556781,-16.2833646960657,0,0,0,0,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",432,711.826452779756,15,18,399,0.0763888888888889,"Transport, Outer Membrane Porin","Transport, Outer Membrane Porin","iML1515"
"374",232,"O2tpp","CPPPGO2",0,58.106588624885,0,0.98780110987909,0,0,0,0,0,-1.41805317488419e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",426,677.881834794582,14,16,396,0.0704225352112676,"Inorganic Ion Transport and Metabolism","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"375",233,"O2tpp","ENO",0,58.106588624885,-92.4452003980878,63.6048332675018,0,0,0,-1,15.5988975323027,15.5988975322879,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",441,926.104198058818,25,28,388,0.120181405895692,"Inorganic Ion Transport and Metabolism","Glycolysis/Gluconeogenesis","iML1515"
"376",234,"O2tpp","GAPD",0,58.106588624885,-61.4479479385726,19.8945278096292,0,0.193864619235153,0,-1,17.1054336035679,17.1054336035476,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",444,980.257944410503,25,33,386,0.130630630630631,"Inorganic Ion Transport and Metabolism","Glycolysis/Gluconeogenesis","iML1515"
"377",235,"O2tpp","PGK",0,58.106588624885,-19.8945278096292,61.4479479385725,0,0,0,-1,-17.1054336035476,-17.1054336035679,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",444,980.257944410503,25,33,386,0.130630630630631,"Inorganic Ion Transport and Metabolism","Glycolysis/Gluconeogenesis","iML1515"
"378",236,"O2tpp","SUCCtex",0,58.106588624885,-16.2833646960657,0,0,0,0,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",426,677.826868355799,14,16,396,0.0704225352112676,"Inorganic Ion Transport and Metabolism","Transport, Outer Membrane Porin","iML1515"
"379",237,"OPHHX3","O2tex",0,0.000195564931406338,0,308.106412556781,0,0,0,0,22.1317632389535,272.128241875881,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",432,711.806236197502,16,19,397,0.0810185185185185,"Cofactor and Prosthetic Group Biosynthesis","Transport, Outer Membrane Porin","iML1515"
"380",238,"OPHHX3","O2tpp",0,0.000195564931406338,0,58.106588624885,0,0,0,0,22.1317632389419,22.1317632389451,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",428,677.82767864992,15,17,396,0.0747663551401869,"Cofactor and Prosthetic Group Biosynthesis","Inorganic Ion Transport and Metabolism","iML1515"
"381",239,"OPHHX3","OPHHXy",0,0.000195564931406338,0,0.00019556961307714,0,0,0,0,0,-3.59841250492567e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",46,0.000974906017091366,18,25,3,0.934782608695652,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"382",240,"PAI2I","DHPTDCs2",0,41.2440811124941,0,9.13449496972792,0,0,0,0,0,-2.82565675501986e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",34,0.00431103664417214,14,19,1,0.970588235294118,"Methionine Metabolism","Methionine Metabolism","iML1515"
"383",241,"PAI2I","MTHTHFSs",0,41.2440811124941,0,9.13449496972792,0,0.0682514312155641,0,0,0,-2.82565675501986e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",34,0.00431103664417214,14,19,1,0.970588235294118,"Methionine Metabolism","Methionine Metabolism","iML1515"
"384",242,"PAI2T","DHPTDCs2",0,41.2440811124941,0,9.13449496972792,0,0,0,0,0,-2.82565675501986e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",34,0.00431103664417214,14,19,1,0.970588235294118,"Methionine Metabolism","Methionine Metabolism","iML1515"
"385",243,"PAI2T","MTHTHFSs",0,41.2440811124941,0,9.13449496972792,0,0.0682514312155641,0,0,0,-2.82565675501986e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",34,0.00431103664417214,14,19,1,0.970588235294118,"Methionine Metabolism","Methionine Metabolism","iML1515"
"386",244,"PAPSR","GRXR",0,18.7213648968875,0,73.4640276959366,0.00039289475206328,0,0,0,0,0.217041024588868,0.217041024620814,0.217041024589246,"pFBAOpt_Rxns","ELE_Rxns","PSL",5,1.03094461488242,1,3,1,0.8,"Cysteine Metabolism","Unassigned","iML1515"
"387",245,"PAPSR","GTHOr",0,18.7213648968875,0,77.9536926383366,0.00039289475206328,0.000391140757634467,0,0,0,0.217041024422088,0.217041024620812,0.217041024499281,"pFBAOpt_Rxns","ELE_Rxns","PSL",5,1.03094461488075,2,3,0,1,"Cysteine Metabolism","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"388",246,"PAPSR","PAPSR2",0,18.7213648968875,0,18.7213648968883,0.00039289475206328,0,0,0,0,0.217041024613144,0.217041024620814,0.217041024619261,"pFBAOpt_Rxns","ELE_Rxns","PSL",10,0.824755691902417,5,5,0,1,"Cysteine Metabolism","Cysteine Metabolism","iML1515"
"389",247,"PDX5PO2","O2tex",0,0.000195565087912063,0,308.106412556781,0.000590219125309347,0,0,0,22.1317632389535,272.128241875881,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",431,697.923946181711,14,19,398,0.0765661252900232,"Cofactor and Prosthetic Group Biosynthesis","Transport, Outer Membrane Porin","iML1515"
"390",248,"PDX5PO2","O2tpp",0,0.000195565087912063,0,58.106588624885,0.000590219125309347,0,0,0,22.1317632389419,22.1317632389451,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",430,691.78387771644,15,17,398,0.0744186046511628,"Cofactor and Prosthetic Group Biosynthesis","Inorganic Ion Transport and Metabolism","iML1515"
"391",249,"PDX5PO2","PDX5POi",0,0.000195565087912063,0,0.000195569777130952,0.000590219125309347,0,0,0,0,8.870661502439e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",3,0.000557375443555209,1,1,1,0.666666666666667,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"392",250,"PGCD","GHMT2r",0,216.857440028145,-41.8796264651272,32.5276549251962,0,0,0,-1,0.978318895157145,0.978318894966972,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",37,8.7503985688365,12,18,7,0.810810810810811,"Glycine and Serine Metabolism","Glycine and Serine Metabolism","iML1515"
"393",251,"PGM","O2tex",-63.6048332674973,196.962913440844,0,308.106412556781,0,0,-1,0,NA,NA,22.1317632389471,272.128241875883,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",437,825.97244451459,17,26,394,0.0983981693363844,"Glycolysis/Gluconeogenesis","Transport, Outer Membrane Porin","iML1515"
"394",252,"PGM","O2tpp",-63.6048332674973,196.962913440844,0,58.106588624885,0,0,-1,0,NA,NA,22.1317632389478,22.1317632389451,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",434,819.369184278856,18,23,393,0.0944700460829493,"Glycolysis/Gluconeogenesis","Inorganic Ion Transport and Metabolism","iML1515"
"395",253,"PIt2rpp","PIuabcpp",0,867.170589454864,0,216.792647363722,0,0,0,0,0,-3.90656396120903e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",205,1.84408864174846,80,92,33,0.839024390243902,"Inorganic Ion Transport and Metabolism","Inorganic Ion Transport and Metabolism","iML1515"
"396",254,"POR5","FLDR2",-477.113308741474,37.7647903931572,0,477.118077631935,0.0559647002414423,0,-1,0,0,1.33535016377806e-10,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",3,0.00597116561501706,1,2,0,1,"Pyruvate Metabolism","Unassigned","iML1515"
"397",255,"PPC","MALS",0,216.91187824113,0,55.7715948058775,0,0,0,0,0,2.48423503990125e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",10,24.6630135581316,2,3,5,0.5,"Anaplerotic Reactions","Anaplerotic Reactions","iML1515"
"398",256,"PPPGO3","O2tex",0,1.24239196386529,0,308.106412556781,0,0,0,0,22.1317632389535,272.128241875881,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",433,711.826397864765,14,19,400,0.0762124711316397,"Cofactor and Prosthetic Group Biosynthesis","Transport, Outer Membrane Porin","iML1515"
"399",257,"PPPGO3","O2tpp",0,1.24239196386529,0,58.106588624885,0,0,0,0,22.1317632389419,22.1317632389451,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",430,691.784783618283,15,18,397,0.0767441860465116,"Cofactor and Prosthetic Group Biosynthesis","Inorganic Ion Transport and Metabolism","iML1515"
"400",258,"PPPGO3","PPPGO",0,1.24239196386529,0,1.22811159646463,0,2.19249303654578e-05,0,0,0,-2.7846078307775e-12,NA,0.000192255626117271,"pFBAOpt_Rxns","MLE_Rxns","PSL",8,0.00148633451683459,4,4,0,1,"Cofactor and Prosthetic Group Biosynthesis","Cofactor and Prosthetic Group Biosynthesis","iML1515"
"401",259,"PRPPS","PPM",-999.959073005602,108.432522379804,-1000,108.3915953854,0,-0.000590219125342628,-1,-1,-0.818540088101258,-0.000590219098853595,-1000,-0.818540088103221,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",4,3.11045157427708,1,3,0,1,"Histidine Metabolism","Alternate Carbon Metabolism","iML1515"
